
1675317118579 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317119352 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317170146 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317170611 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317199613 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317199982 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317199984 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317200357 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317302718 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317303162 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317445246 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317446245 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -7.4, 'chp': -0.04, 'lp': 17608.9, 'spread': 0.0, 'ask': 17608.9, 'bid': 17608.9, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675317420, 'o': 17610.1, 'h': 17610.65, 'l': 17606.5, 'c': 17608.9, 'v': 0, 'tf': '11:27'}}}]}

1675317459916 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317460311 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -6.6, 'chp': -0.04, 'lp': 17609.7, 'spread': 0.0, 'ask': 17609.7, 'bid': 17609.7, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675317420, 'o': 17610.1, 'h': 17610.8, 'l': 17606.5, 'c': 17609.7, 'v': 0, 'tf': '11:27'}}}]}

1675324438079 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675324438732 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -59.55, 'chp': -0.34, 'lp': 17556.75, 'spread': 0.0, 'ask': 17556.75, 'bid': 17556.75, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675324440, 'o': 17556.75, 'h': 17556.75, 'l': 17556.75, 'c': 17556.75, 'v': 0, 'tf': '13:24'}}}]}

1675324575884 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675324576453 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -63.85, 'chp': -0.36, 'lp': 17552.45, 'spread': 0.0, 'ask': 17552.45, 'bid': 17552.45, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675324560, 'o': 17552.85, 'h': 17553.6, 'l': 17552.15, 'c': 17552.45, 'v': 0, 'tf': '13:26'}}}]}

1675325390336 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325390703 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -96.9, 'chp': -0.55, 'lp': 17519.4, 'spread': 0.0, 'ask': 17519.4, 'bid': 17519.4, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325340, 'o': 17521.9, 'h': 17524.9, 'l': 17519.25, 'c': 17519.4, 'v': 0, 'tf': '13:39'}}}]}

1675325402893 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325403340 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -98.35, 'chp': -0.56, 'lp': 17517.95, 'spread': 0.0, 'ask': 17517.95, 'bid': 17517.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325400, 'o': 17519.5, 'h': 17520.05, 'l': 17516.75, 'c': 17517.95, 'v': 0, 'tf': '13:40'}}}]}

1675325408950 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325409216 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -98.35, 'chp': -0.56, 'lp': 17517.95, 'spread': 0.0, 'ask': 17517.95, 'bid': 17517.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325400, 'o': 17519.5, 'h': 17520.05, 'l': 17516.65, 'c': 17517.95, 'v': 0, 'tf': '13:40'}}}]}

1675325416676 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325417490 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -103.95, 'chp': -0.59, 'lp': 17512.35, 'spread': 0.0, 'ask': 17512.35, 'bid': 17512.35, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325400, 'o': 17519.5, 'h': 17520.05, 'l': 17512.15, 'c': 17512.35, 'v': 0, 'tf': '13:40'}}}]}

1675325537001 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325537531 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -107.0, 'chp': -0.61, 'lp': 17509.3, 'spread': 0.0, 'ask': 17509.3, 'bid': 17509.3, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325520, 'o': 17516.6, 'h': 17516.6, 'l': 17509.3, 'c': 17509.3, 'v': 0, 'tf': '13:42'}}}]}

1675325802089 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675325802642 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -92.4, 'chp': -0.52, 'lp': 17523.9, 'spread': 0.0, 'ask': 17523.9, 'bid': 17523.9, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675325760, 'o': 17526.85, 'h': 17526.85, 'l': 17516.9, 'c': 17523.9, 'v': 0, 'tf': '13:46'}}}]}

1675327000337 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327000774 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -97.15, 'chp': -0.55, 'lp': 17519.15, 'spread': 0.0, 'ask': 17519.15, 'bid': 17519.15, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675326960, 'o': 17522.35, 'h': 17524.0, 'l': 17519.15, 'c': 17519.15, 'v': 0, 'tf': '14:6'}}}]}

1675327217706 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327218105 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -79.8, 'chp': -0.45, 'lp': 17536.5, 'spread': 0.0, 'ask': 17536.5, 'bid': 17536.5, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675327200, 'o': 17529.55, 'h': 17536.5, 'l': 17526.9, 'c': 17536.5, 'v': 0, 'tf': '14:10'}}}]}

